"movie_id","predicted_genres"
10827,Action Adventure
51768,Documentary
36064,Documentary
33763,Action Drama Fantasy Horror Thriller
1146,Crime Mystery
11202,Horror
26117,Documentary
33492,Mystery Romance Thriller War
35558,Drama
13084,Documentary
26406,Documentary
15035,Horror
37927,Horror Mystery Thriller
25683,Crime Drama Thriller
34123,Horror
4318,Drama
48356,Comedy Documentary
22401,Children Musical
27225,Action Crime Thriller
879,Documentary
51110,Horror Thriller
17848,Documentary Musical
44557,Action
19700,Crime Thriller Mystery
16601,Action Thriller
47766,Horror
22280,Mystery Thriller Crime
28374,Documentary
442,Fantasy Adventure Animation
1746,Documentary
31756,Drama Animation Fantasy
40872,Action
25623,Horror
83,Documentary
50718,Sci-Fi Horror
24538,Action Horror Sci-Fi Thriller
49912,Documentary Drama
3926,Animation Comedy Family
50952,Animation Musical Family
30709,Fantasy Action Sci-Fi
38545,Adventure Family
18150,Documentary
9641,Documentary
15590,Thriller Action Crime
6609,Horror
44964,Horror
21078,Thriller Mystery
4523,Drama
43612,Horror
29073,Documentary
33169,Thriller Crime
32963,Drama Children
45484,Thriller
32195,Action Horror
19543,Documentary
38202,Adventure War
15829,Action Thriller
24848,Thriller
25964,Action Adventure Thriller
45520,Thriller Horror
52080,Thriller Crime
29025,Horror
12570,Adventure Sci-Fi
13780,Romance
43708,Drama
40291,Documentary Drama Sci-Fi
35670,Documentary
10767,Documentary
51317,Sci-Fi
4163,Drama Mystery Thriller
5033,Fantasy Adventure Children
19614,Horror Mystery Thriller
20141,Documentary Drama
38998,Documentary
5632,Thriller Horror Crime
4295,Animation
29300,Comedy Thriller
33614,Action Animation Fantasy
8899,Documentary Musical
32681,Action Crime Drama Thriller
29699,Action Romance Thriller
48355,Documentary
2589,Thriller Mystery
49357,Action Adventure Children Sci-Fi
51723,Animation
42365,Western
21887,Documentary
37225,Horror
30595,Documentary
26662,Documentary Drama
48561,Horror Sci-Fi
44052,Fantasy Adventure
12564,Documentary
5754,Animation Children Comedy
33146,Action Thriller
38266,Sci-Fi Horror
14125,Children
27421,Documentary Drama
36877,Action Animation Sci-Fi
16990,Comedy Crime
36246,Romance
49559,Documentary Drama
42897,Action Adventure Horror Thriller
46208,Horror
46035,Comedy
45502,Documentary
23681,Documentary Children
16981,Drama Horror
14711,Crime Drama Thriller
37535,Documentary
557,Action Adventure  War
20163,Comedy
1041,Action
2044,Horror Sci-Fi
20236,Drama  Romance
10697,Drama
27988,Documentary
43299,Thriller Horror
12669,Horror Thriller
27806,Drama
45552,Documentary Drama
28434,Children
45072,Documentary
48603,Western Adventure
47302,Animation Fantasy
34060,Adventure Drama Sci-Fi
7979,Documentary
593,Documentary Drama
51778,Adventure Sci-Fi Action
33125,Thriller Crime Horror
5058,Action
3604,Horror
17818,Thriller
1967,Thriller Horror Sci-Fi
32442,Documentary
11301,Documentary Drama
34885,Documentary
29024,Adventure
44586,Drama Thriller
29353,Documentary
21240,Crime Thriller
444,Action Crime
44177,Action Thriller Crime
47037,Thriller Action Crime
14235,Children
21224,Horror
33072,Documentary
11839,Mystery Thriller
28477,Thriller Horror Mystery
38648,Action
10701,Documentary
29902,Animation Adventure Children
19246,Sci-Fi
34354,Action Thriller Sci-Fi Adventure
42971,Action
13923,Documentary
33491,Crime Drama Thriller
47698,Thriller Horror
25006,Documentary
30956,Horror Thriller
44944,Drama Horror
17155,Adventure Family Fantasy
13465,Action Crime Thriller
12776,Sci-Fi
5886,Action Sci-Fi
43067,Drama
29054,Thriller
49415,Horror Thriller
32099,Documentary Drama
3185,Thriller Horror
19750,Drama Musical
30612,Drama
1887,Thriller Animation Children Fantasy
3637,Action Adventure Sci-Fi
35643,Documentary War
21310,Adventure Fantasy Animation Sci-Fi Children
46959,Documentary Mystery
14896,Comedy Drama Western
40422,Thriller
25044,Documentary Drama
15335,Documentary
5251,Documentary Animation
10331,Action Crime
50784,Drama Horror
28777,Comedy Drama
14066,Thriller
39617,Documentary
17733,Drama
49486,Documentary
1378,Action Drama
16266,Action Drama War
5173,Adventure Children
23930,Drama Sci-Fi
13586,Documentary
28939,Documentary
48776,Thriller
25506,Animation Children
48915,Horror
19266,Documentary Drama
31701,Thriller Horror Action
26941,Comedy Drama Romance
19020,Adventure Sci-Fi Action
23546,Crime Drama Thriller
6454,Comedy Documentary
