,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,id,cnt,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5698,
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3600,
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2854,
45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,1503,
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1426,
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1042,
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1008,
67,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29,691,
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15,596,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,571,
76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,557,
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,546,
15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,432,
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,374,
400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,372,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,369,
32,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,18,330,
69,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,330,
224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,284,
111,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,248,
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,169,233,
356,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,222,
93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,37,215,
442,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,189,
234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,178,
3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,176,
19,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,172,
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,171,
249,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,87,167,
325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,107,167,
181,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60,166,
225,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,77,153,
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,150,
227,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,143,
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,136,
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,135,
